id_films,names_films,types_film,rating_films,years_films,links_films
3694,Молодые любовники ,драма,0,2021 ,https://baskino.org/films/13331-molodye-ljubovniki.html
3695,Пропавшие ,"триллер, ужасы",0,2018 ,https://baskino.org/films/15642-propavshie.html
3696,Я тебя найду ,криминал,0,2018 ,https://baskino.org/films/15637-ja-tebja-najdu.html
3697,Любовь на расстоянии 50 метров ,"комедия, мелодрама",0,2018 ,https://baskino.org/films/15628-ljubov-na-rasstojanii-50-metrov.html
3698,Карьеристка ,"комедия, мелодрама",0,2018 ,https://baskino.org/films/15627-kareristka.html
3699,Миа и белый лев ,"драма, приключения, семейный",0,2018 ,https://baskino.org/films/15625-mia-i-belyj-lev.html
3700,Выигрышный билет ,драма,0,2018 ,https://baskino.org/films/15623-vyigryshnyj-bilet.html
3701,Груз ,"драма, история",0,2018 ,https://baskino.org/films/15621-gruz.html
3702,Пойдем пойдем ,драма,0,2021 ,https://baskino.org/films/8699-pojdem-pojdem.html
3703,Ностальгия ,драма,0,2018 ,https://baskino.org/films/15606-nostalgija.html
3704,Эксплуатация ,комедия,0,2018 ,https://baskino.org/films/15605-jekspluatacija.html
3705,Данур 2: песня ,ужасы,0,2018 ,https://baskino.org/films/15604-danur-2-pesnja.html
3706,Идеальная кожа ,"триллер, ужасы",0,2018 ,https://baskino.org/films/15579-idealnaja-kozha.html
3707,Ронни и Клайд ,"комедия, криминал",0,2018 ,https://baskino.org/films/15578-ronni-i-klajd.html
3708,Горячие каникулы ,"драма, комедия",0,2018 ,https://baskino.org/films/15576-gorjachie-kanikuly.html
3709,Игра теней ,"детектив, драма, криминал",0,2018 ,https://baskino.org/films/15569-igra-tenej.html
3710,Сглаз ,"триллер, ужасы",0,2018 ,https://baskino.org/films/15568-sglaz.html
3711,В Питере – петь. Сергей Шнуров ,документальный,0,2018 ,https://baskino.org/films/15567-v-pitere-pet-sergej-shnurov.html
3712,Уборка ,драма,0,2018 ,https://baskino.org/films/15566-uborka.html
3713,Скиф ,"боевик, драма, приключения, фэнтези",0,2018 ,https://baskino.org/films/15565-skif.html
3714,Веном ,"боевик, триллер, ужасы, фантастика",50,2018 ,https://baskino.org/films/15563-venom.html
3715,Дельфиний риф ,"документальный, семейный",50,2018 ,https://baskino.org/films/15562-delfinij-rif.html
3716,Моя бывшая подружка ,комедия,0,2018 ,https://baskino.org/films/15561-moja-byvshaja-podruzhka.html
3717,Гусь ,драма,0,2018 ,https://baskino.org/films/15551-gus.html
3718,Архив расследований букинистического магазина «Библия» ,детектив,0,2018 ,https://baskino.org/films/15545-arhiv-rassledovanij-bukinisticheskogo-magazina-biblija.html
3719,Можно только представить ,"биография, драма, музыка",0,2018 ,https://baskino.org/films/15543-mozhno-tolko-predstavit.html
3720, Отцовство ,драма,0,2021 ,https://baskino.org/films/2718-otcovstvo.html
3721,Неаполь под пеленой ,"детектив, драма, мелодрама",20,2018 ,https://baskino.org/films/15542-neapol-pod-pelenoj.html
