id_meals,meals_names,calories,proteins,fats,carbohydrates
281,"Говядина, сосиски, свежие, приготовленные",332.0,18.21,27.98,0.35
282,Грудинка копчено-запеченная (свинина),514.0,10.0,52.7,0.0
283,Грудинка сырокопченая (свинина),605.0,8.9,63.3,0.0
284,"гусь, Паштет, из печени, копченый, консерв.",462.0,11.4,43.84,4.67
285,"Зельц, из свинины",157.0,13.83,10.9,0.0
286,Колбаса вареная говяжья,165.0,15.0,11.7,0.2
287,Колбаса вареная для завтрака,187.0,13.0,13.9,2.4
288,Колбаса вареная русская,302.0,11.5,27.9,1.7
289,"Колбаса вареная, диабетическая",254.0,12.1,22.8,0.0
290,"Колбаса вареная, диетическая",170.0,12.1,13.5,0.0
291,"Колбаса вареная, докторская",257.0,12.8,22.2,1.5
292,"Колбаса вареная, зеленоградская (с мясом утки)",187.0,17.2,12.1,2.2
293,"Колбаса вареная, любительская",301.0,12.2,28.0,0.1
294,"Колбаса вареная, любительская свиная",312.0,12.5,29.1,0.0
295,"Колбаса вареная, молочная",252.0,11.7,22.8,0.2
296,"Колбаса вареная, отдельная",240.0,11.0,21.0,1.7
297,"Колбаса вареная, подмосковная (с куриным мясом)",180.0,17.2,11.6,1.7
298,"Колбаса вареная, свиная",277.0,10.8,25.8,0.5
299,"Колбаса вареная, столовая",234.0,11.1,20.2,1.8
300,"Колбаса вареная, телячья",308.0,13.2,28.3,0.3
301,"Колбаса вареная, чайная",216.0,11.7,18.4,1.7
302,Колбаса варено-копченая московская,406.0,19.1,36.6,0.2
303,"Колбаса варено-копченая, любительская",420.0,17.2,39.0,0.2
304,Колбаса полукопченая одесская,402.0,14.8,38.1,0.3
305,"Колбаса полукопченая, армавирская",423.0,15.1,40.1,0.3
306,"Колбаса полукопченая, краковская",466.0,16.2,44.6,0.0
307,"Колбаса полукопченая, минская",287.0,17.4,23.0,2.7
308,"Колбаса полукопченая, полтавская",417.0,16.4,39.0,0.0
309,"Колбаса полукопченая, таллинская",373.0,17.1,33.8,0.2
310,"Колбаса полукопченая, украинская",376.0,16.5,34.4,0.0
311,Колбаса сырокопченая дорожная,498.0,17.0,47.7,0.4
312,Колбаса сырокопченая зернистая,606.0,9.9,62.8,0.3
313,Колбаса сырокопченая олимпийская,436.0,21.1,39.1,0.4
314,Колбаса сырокопченая свиная,566.0,13.0,57.0,0.2
315,"Колбаса сырокопченая, брауншвейгская",491.0,27.7,42.2,0.2
316,"Колбаса сырокопченая, любительская",514.0,20.9,47.8,0.0
317,"Колбаса сырокопченая, московская",473.0,24.8,41.5,0.0
318,"Колбаса сырокопченая, столичная",487.0,24.0,43.4,0.0
319,"Колбаса, Берлинская, свинина, говядина",230.0,15.27,17.2,2.59
320,"Колбаса, Болонская, говядина, с пониж. содер. натрия",310.0,11.7,28.4,2.0
321,"Колбаса, Брауншвейгская, свинина",327.0,14.5,28.5,3.1
322,"Колбаса, из свинины и говядины, с сыром чеддер, копченая",296.0,12.89,25.84,2.13
323,"Колбаса, итальянская, свинина, вареная",324.0,18.4,26.4,1.86
324,"Колбаса, Итальянская, свинина, сырая",290.0,13.9,24.26,2.97
325,"Колбаса, итальянская, сладкая, сосиски или сардельки",149.0,16.13,8.42,2.1
326,"Колбаса, Кровяная",379.0,14.6,34.5,1.29
327,"Колбаса, Ливерная, свинина",326.0,14.1,28.5,2.2
328,"Колбаса, польская, говядина с курицей, острая",259.0,17.6,19.4,3.6
329,"Колбаса, польская, из индейки и говядины, копченая",226.0,13.1,17.6,3.9
330,"Колбаса, польская, из свинины",326.0,14.1,28.72,1.63
331,"Колбаса, польская, из свинины и говядины, копченая",301.0,12.07,26.56,1.98
332,"Колбаса, свинина, вареная",339.0,19.43,28.36,0.0
333,"Колбаса, свинина, говядина, вареная",396.0,13.8,36.25,2.7
334,"Колбаса, свинина, сырая",288.0,15.39,24.8,0.93
335,"Колбасы, копченые сардельки, из свинины и говядины",320.0,12.0,28.73,2.42
336,"Копченые сардельки, из свинины",309.0,11.98,28.23,0.94
